iter	Passed	Remaining
468	722	818
469	724	816
470	725	814
471	726	812
472	727	810
473	729	809
474	730	807
475	731	805
476	732	803
477	733	801
478	735	799
479	736	797
480	737	795
481	739	794
482	740	792
483	741	790
484	743	789
485	744	787
486	745	785
487	746	783
488	748	781
489	749	780
490	750	778
491	752	776
492	756	778
493	757	776
494	759	774
495	760	772
496	761	770
497	762	769
498	764	767
499	765	765
500	766	763
501	768	762
502	769	760
503	770	758
504	771	756
505	773	754
506	774	752
507	775	751
508	776	749
509	778	747
510	779	745
511	780	743
512	781	742
513	783	740
514	784	738
515	785	736
516	786	735
517	788	733
518	789	731
519	791	730
520	792	728
521	793	726
522	795	725
523	796	723
524	797	721
525	799	720
526	800	718
527	801	716
528	802	714
529	803	712
530	805	711
531	806	709
532	807	707
533	808	705
534	810	704
535	811	702
536	812	700
537	814	699
538	815	697
539	816	695
540	818	694
541	819	692
542	820	690
543	821	688
544	823	687
545	824	685
546	825	683
547	827	682
548	828	680
549	829	678
550	830	677
551	832	675
552	833	673
553	834	671
554	835	670
555	837	668
556	838	666
557	839	665
558	840	663
559	842	661
560	843	659
561	844	658
562	845	656
563	847	654
564	848	653
565	849	651
566	850	649
567	852	648
568	853	646
569	854	644
570	855	643
571	857	641
572	858	639
573	859	638
574	860	636
575	862	634
576	863	633
577	864	631
578	866	629
579	867	628
580	868	626
581	870	625
582	871	623
583	872	621
584	873	619
585	875	618
586	876	616
587	877	614
588	878	613
589	880	611
590	881	609
591	884	609
592	885	607
593	887	606
594	888	604
595	889	602
596	890	601
597	891	599
598	893	597
599	894	596
600	895	594
601	896	592
602	898	591
603	899	589
604	901	588
605	902	586
606	903	585
607	904	583
608	906	581
609	907	580
610	908	578
611	909	576
612	911	575
613	912	573
614	913	572
615	915	570
616	916	568
617	917	567
618	918	565
619	919	563
620	921	562
621	922	560
622	923	559
623	925	557
624	926	556
625	928	554
626	929	552
627	930	551
628	932	549
629	933	548
630	934	546
631	936	545
632	937	543
633	938	541
634	940	540
635	941	539
636	943	537
637	944	536
638	945	534
639	947	532
640	948	531
641	949	529
642	951	528
643	952	526
644	953	524
645	955	523
646	956	521
647	958	520
648	959	518
649	960	517
650	962	515
651	963	514
652	964	512
653	966	511
654	967	509
655	969	508
656	970	506
657	971	505
658	973	503
659	974	501
660	975	500
661	976	498
662	978	497
663	979	495
664	981	494
665	982	492
666	983	491
667	985	490
668	987	488
669	988	487
670	990	485
671	991	483
672	992	482
673	994	480
674	995	479
675	996	477
676	998	476
677	999	474
678	1000	473
679	1002	471
680	1003	470
681	1004	468
682	1006	466
683	1007	465
684	1008	463
685	1009	462
686	1011	460
687	1012	459
688	1014	457
689	1015	456
690	1017	454
691	1018	453
692	1019	451
693	1020	450
694	1022	448
695	1023	446
696	1024	445
697	1025	443
698	1027	442
699	1028	440
700	1030	439
701	1031	437
702	1032	436
703	1034	434
704	1035	433
705	1036	431
706	1037	430
707	1039	428
708	1040	427
709	1041	425
710	1043	424
711	1044	422
712	1046	421
713	1047	419
714	1048	417
715	1049	416
716	1051	414
717	1052	413
718	1053	411
719	1055	410
720	1056	408
721	1057	407
722	1059	405
723	1060	404
724	1061	402
725	1063	401
726	1064	399
727	1065	398
728	1067	396
729	1068	395
730	1069	393
731	1071	392
732	1072	390
733	1074	389
734	1075	387
735	1076	386
736	1077	384
737	1079	383
738	1080	381
739	1082	380
740	1083	378
741	1084	377
742	1085	375
743	1087	374
744	1088	372
745	1090	371
746	1091	369
747	1093	368
748	1094	366
749	1095	365
750	1097	363
751	1098	362
752	1099	360
753	1101	359
754	1102	357
755	1103	356
756	1105	354
757	1106	353
758	1107	351
759	1109	350
760	1110	348
761	1111	347
762	1113	345
763	1114	344
764	1115	342
765	1116	341
766	1117	339
767	1119	338
768	1120	336
769	1122	335
770	1123	333
771	1124	332
772	1125	330
773	1127	329
774	1128	327
775	1129	326
776	1131	324
777	1132	323
778	1134	321
779	1135	320
780	1136	318
781	1138	317
782	1139	315
783	1140	314
784	1141	312
785	1142	311
786	1144	309
787	1145	308
788	1146	306
789	1148	305
790	1149	303
791	1150	302
792	1151	300
793	1153	299
794	1154	297
795	1155	296
796	1157	294
797	1158	293
798	1160	291
799	1162	290
800	1164	289
801	1165	287
802	1166	286
803	1167	284
804	1169	283
805	1170	281
806	1171	280
807	1173	278
808	1174	277
809	1175	275
810	1177	274
811	1178	272
812	1179	271
813	1180	269
814	1182	268
815	1183	266
816	1184	265
817	1185	263
818	1187	262
819	1188	260
820	1190	259
821	1191	257
822	1192	256
823	1193	254
824	1194	253
825	1196	251
826	1197	250
827	1198	249
828	1199	247
829	1201	246
830	1202	244
831	1203	243
832	1205	241
833	1206	240
834	1207	238
835	1208	237
836	1210	235
837	1211	234
838	1212	232
839	1213	231
840	1215	229
841	1216	228
842	1217	226
843	1218	225
844	1220	223
845	1221	222
846	1222	220
847	1224	219
848	1225	217
849	1226	216
850	1228	215
851	1229	213
852	1230	212
853	1232	210
854	1233	209
855	1235	207
856	1236	206
857	1238	204
858	1239	203
859	1240	202
860	1242	200
861	1243	199
862	1244	197
863	1246	196
864	1247	194
865	1249	193
866	1250	191
867	1251	190
868	1252	188
869	1254	187
870	1255	185
871	1256	184
872	1258	183
873	1259	181
874	1260	180
875	1262	178
876	1263	177
877	1265	175
878	1266	174
879	1267	172
880	1268	171
881	1270	169
882	1271	168
883	1272	167
884	1274	165
885	1275	164
886	1276	162
887	1278	161
888	1279	159
889	1280	158
890	1282	156
891	1283	155
892	1284	153
893	1286	152
894	1287	151
895	1288	149
896	1290	148
897	1291	146
898	1292	145
899	1294	143
900	1295	142
901	1296	140
902	1297	139
903	1299	137
904	1300	136
905	1301	135
906	1302	133
907	1304	132
908	1305	130
909	1307	129
910	1308	127
911	1309	126
912	1311	124
913	1312	123
914	1313	122
915	1315	120
916	1316	119
917	1318	117
918	1319	116
919	1320	114
920	1322	113
921	1323	111
922	1324	110
923	1325	109
924	1327	107
925	1328	106
926	1329	104
927	1330	103
928	1332	101
929	1333	100
930	1334	98
931	1336	97
932	1337	96
933	1338	94
934	1339	93
935	1340	91
936	1342	90
937	1343	88
938	1344	87
939	1345	85
940	1347	84
941	1348	83
942	1349	81
943	1351	80
944	1352	78
945	1353	77
946	1355	75
947	1356	74
948	1357	72
949	1359	71
950	1360	70
951	1362	68
952	1363	67
953	1364	65
954	1366	64
955	1367	62
956	1368	61
957	1370	60
958	1371	58
959	1372	57
960	1373	55
961	1375	54
962	1376	52
963	1378	51
964	1379	50
965	1380	48
966	1382	47
967	1383	45
968	1384	44
969	1386	42
970	1387	41
971	1389	40
972	1390	38
973	1392	37
974	1393	35
975	1394	34
976	1395	32
977	1397	31
978	1398	29
979	1399	28
980	1400	27
981	1402	25
982	1403	24
983	1404	22
984	1406	21
985	1407	19
986	1408	18
987	1409	17
988	1411	15
989	1412	14
990	1413	12
991	1414	11
992	1416	9
993	1417	8
994	1418	7
995	1420	5
996	1421	4
997	1422	2
998	1423	1
999	1424	0
